Date,Location,,,Cases,Death
03-05,Nassau,New York,36059,1,0
03-06,Nassau,New York,36059,4,0
03-07,Nassau,New York,36059,4,0
03-08,Nassau,New York,36059,5,0
03-09,Nassau,New York,36059,17,0
03-10,Nassau,New York,36059,19,0
03-11,Nassau,New York,36059,28,0
03-12,Nassau,New York,36059,41,0
03-13,Nassau,New York,36059,51,0
03-14,Nassau,New York,36059,79,0
03-15,Nassau,New York,36059,98,0
03-16,Nassau,New York,36059,109,0
03-17,Nassau,New York,36059,131,2
03-18,Nassau,New York,36059,183,2
03-19,Nassau,New York,36059,382,3
03-20,Nassau,New York,36059,754,4
03-21,Nassau,New York,36059,1234,7
03-22,Nassau,New York,36059,1900,7
03-23,Nassau,New York,36059,2442,9
03-24,Nassau,New York,36059,2869,9
03-25,Nassau,New York,36059,3285,17
03-26,Nassau,New York,36059,3914,19
03-27,Nassau,New York,36059,4657,27
03-28,Nassau,New York,36059,5537,35
03-29,Nassau,New York,36059,6445,39
03-30,Nassau,New York,36059,7344,48
03-31,Nassau,New York,36059,8544,63
04-01,Nassau,New York,36059,8544,63
04-02,Nassau,New York,36059,10587,95
